pl_name,pl_rade,pl_bmasse,pl_orbper,pl_eqt,st_teff,st_mass,st_rad,st_met,pl_eqt_normalized,st_met_normalized,surface_gravity,surface_gravity_normalized,habitability_score,terraforming_score
OGLE-2016-BLG-1227L b,13.9,250.0,,912.5307146386988,5412.3924897449615,0.1,,0.014262971257932062,356.2653573193494,80.57051885031727,1.2939288856684437,79.39288856684436,129,244
Kepler-24 e,2.78,8.15,18.998355,792.0,5897.0,1.05,1.29,-0.071,296.0,77.16000000000001,1.0545520418197818,55.45520418197818,108,149
Kepler-1065 b,3.73,13.4,3.60930891,1092.0,5635.0,0.94,0.93,-0.01,446.0,79.60000000000001,0.9631349323289896,46.31349323289896,145,198
HD 132406 b,12.8,1887.90074,908.0,912.5307146386988,5766.0,0.97,1.34,0.129,356.2653573193494,85.16,11.52283166503906,1102.283166503906,335,444
TOI-1260 c,2.76,13.2,7.493134,651.0,4227.0,0.68,0.67,-0.1,225.5,76.0,1.7328292375551357,123.28292375551358,104,133
HD 149143 b,13.6,422.7139,4.07182,912.5307146386988,5856.0,1.2,1.44,0.29,356.2653573193494,91.60000000000001,2.285434147923876,178.54341479238758,152,267
HD 99492 b,5.44,25.5,17.0503,912.5307146386988,4929.0,0.85,0.82,0.3,356.2653573193494,92.0,0.8616727941176469,36.16727941176469,124,180
nu Oph c,12.0,7838.32346,3180.6,912.5307146386988,4887.0,2.61,12.24,0.1,356.2653573193494,84.00000000000001,54.432801805555556,5393.2801805555555,1193,1293
75 Cet b,13.3,787.89662,696.62,912.5307146386988,4809.0,1.92,10.38,0.1,356.2653573193494,84.00000000000001,4.454161456272259,395.4161456272259,193,301
gam Lib b,13.7,357.87479,414.88,912.5307146386988,4879.0,1.78,12.38,-0.27,356.2653573193494,69.19999999999999,1.9067333901646335,140.67333901646336,138,250
HD 113337 b,13.1,1035.80278,317.58639,912.5307146386988,6667.33,1.4,1.53,0.07,356.2653573193494,82.8,6.035795000291359,553.5795000291359,225,341
HD 28109 c,4.23,7.943,56.00819,585.2,6120.0,1.26,1.45,0.0,192.60000000000002,80.0,0.4439190964013658,-5.6080903598634215,71,117
K2-350 b,1.54,2.99,4.163873,1158.0,5789.0,0.98,1.04,-0.02,479.0,79.2,1.260752234778209,76.0752234778209,159,200
K2-342 b,2.03,4.78,11.561052,861.0,5920.0,1.01,1.09,-0.06,330.5,77.60000000000001,1.159940789633333,65.9940789633333,119,157
EPIC 212587672 b,1.26,2.13,15.28078,756.0,6004.0,0.99,0.98,-0.18,278.0,72.8,1.3416477702191987,84.16477702191986,108,139
K2-332 b,2.2,5.48,17.70632,266.0,3315.0,0.27,0.28,0.09,33.0,83.6,1.1322314049586777,63.22314049586777,46,56
K2-340 b,3.36,11.2,29.740451,606.0,5532.0,0.93,1.13,0.08,202.99999999999997,83.2,0.9920634920634922,49.20634920634922,86,123
GJ 486 b,1.289,2.77,1.46712127,696.3,3317.0,0.31,0.32,-0.15,248.14999999999995,74.0,1.6671471501112536,116.71471501112536,108,123
TOI-6002 b,1.65,3.36,10.904821,321.4,3229.0,0.21,0.24,-0.18,60.69999999999999,72.8,1.234159779614325,73.4159779614325,77,60
HIP 12961 b,13.2,114.4188,57.435,912.5307146386988,3901.0,0.69,0.65,-0.14,356.2653573193494,74.4,0.6566735537190084,15.667355371900838,115,218
HD 11755 b,12.8,1789.3829,433.70001,912.5307146386988,4312.0,0.72,20.58,-0.74,356.2653573193494,50.4,10.921526489257811,1042.152648925781,313,416
HD 29985 b,12.8,1739.47487,20608.14049,912.5307146386988,4678.0,0.75,0.57,-0.22,356.2653573193494,71.2,10.616912048339842,1011.6912048339841,313,417
HD 115954 b,12.6,2685.65004,3700.0,144.9,5957.0,1.18,1.21,0.34,-27.549999999999997,93.6,16.916414965986394,1641.6414965986394,350,439
HIP 97233 b,12.1,6098.17365,1062.26506,912.5307146386988,5020.0,1.81,5.34,0.29,356.2653573193494,91.60000000000001,41.65134656102725,4115.134656102726,940,1040
HD 95872 b,13.0,1188.6842,4375.0,912.5307146386988,5312.0,0.7,0.84,0.41,356.2653573193494,96.4,7.033634319526627,653.3634319526627,249,357
OGLE-2015-BLG-0966L b,4.86,21.0,,912.5307146386988,5412.3924897449615,0.38,,0.014262971257932062,356.2653573193494,80.57051885031727,0.88909210994259,38.909210994259006,121,176
Teegarden's Star c,1.02,1.05,11.416,209.0,3034.0,0.1,0.12,-0.11,4.5,75.6,1.0092272202998847,50.92272202998846,34,34
TOI-1470 b,2.18,7.32,2.527093,734.0,3709.0,0.47,0.47,0.0,267.0,80.0,1.5402743876778047,104.02743876778047,112,136
HR 810 b,12.7,1970.53612,302.79999,912.5307146386988,6167.0,1.34,1.13,0.16,356.2653573193494,86.4,12.217348378696759,1171.7348378696759,349,460
HD 97658 b,2.12,8.3,9.4897116,751.0,5212.0,0.85,0.73,-0.23,275.5,70.8,1.846742613029548,134.6742613029548,117,149
LTT 3780 b,1.325,2.46,0.76837931,903.0,3358.0,0.38,0.38,0.06,351.5,82.4,1.4012103951584194,90.12103951584194,131,151
HIP 41378 c,2.56,7.08,31.70648,696.502287375,6226.0,1.14,1.35,-0.11,248.25114368750002,75.6,1.080322265625,58.0322265625,96,135
HD 86728 b,3.03,9.43,31.1515,912.5307146386988,5610.0,0.97,1.24,0.2,356.2653573193494,88.00000000000001,1.0271324162119182,52.71324162119182,126,169
HD 106315 c,4.35,15.2,21.05704,886.0,6327.0,1.07,1.29,-0.311,343.0,67.56,0.8032765226582113,30.327652265821126,112,168
K2-174 b,2.6,7.27,19.562307,455.0,4455.0,0.67,0.68,0.113,127.49999999999999,84.52,1.0754437869822484,57.54437869822484,69,92
TOI-2068 b,1.821,3.97,7.768915,520.62,3710.0,0.56,0.54,0.27,160.31,90.8,1.1972107703131536,69.72107703131536,81,97
TOI-2180 b,11.321,875.61726,260.79,348.0,5695.0,1.11,1.64,0.253,74.0,90.12,6.831950843756216,633.1950843756216,197,257
TOI-1899 b,11.097,212.94503,29.090312,378.0,3926.0,0.63,0.61,0.28,89.0,91.20000000000002,1.7292442342569874,122.92442342569873,74,149
HD 22946 d,2.607,26.57,47.42489,546.0,6169.0,1.1,1.12,-0.08,173.0,76.8,3.9093944499546742,340.9394449954674,134,169
Qatar-3 b,12.285,1369.8473,2.5079204,1681.0,6007.0,1.15,1.27,-0.041,740.5,78.36000000000001,9.076571569042061,857.6571569042061,380,507
WASP-159 b,15.468,174.8065,3.840401,1850.0,6120.0,1.41,2.11,0.22,825.0,88.80000000000001,0.7306161208782662,23.06161208782662,238,390
WASP-7 b,14.908,305.1168,4.9546416,1487.0,6400.0,1.28,1.43,0.0,643.5,80.0,1.3728634812972207,87.28634812972207,202,344
HD 219134 g,3.28,10.80622,94.2,912.5307146386988,4913.0,0.79,0.77,0.08,356.2653573193494,83.2,1.0044448988697205,50.44448988697206,124,166
tau Cet e,1.81,3.93,162.87,912.5307146386988,5310.0,0.78,0.83,-0.52,356.2653573193494,59.199999999999996,1.199597081896157,69.9597081896157,121,156
Kepler-1465 b,1.77,3.78,31.8277111,668.0,4726.0,0.75,0.71,-0.06,234.0,77.60000000000001,1.2065498419994254,70.65498419994253,96,121
K2-150 b,2.0,4.66,10.59357,912.5307146386988,3499.0,0.46,0.44,0.09,356.2653573193494,83.6,1.165,66.5,127,154
NSVS 14256825 b,12.3,4497.2945,3225.0,912.5307146386988,40000.0,0.42,0.19,0.014262971257932062,356.2653573193494,80.57051885031727,29.726317007072506,2922.6317007072507,698,975
Kepler-1665 b,2.839,8.44,11.9548,906.0,5049.84,0.84,0.78,-0.013,353.0,79.48,1.0471566656794775,54.71566656794775,123,163
KOI-4978 b,0.7,0.271,0.941967,912.5307146386988,5050.28,0.86,0.97,0.18,356.2653573193494,87.20000000000002,0.553061224489796,5.3061224489796,116,141
Kepler-1332 b,1.37,2.45,11.87456832,728.0,5581.0,0.95,0.9,0.0,264.0,80.0,1.3053439181629283,80.53439181629282,106,134
Kepler-1484 b,2.11,5.1,30.4549136,624.0,5730.0,0.94,0.92,-0.17,212.0,73.2,1.1455268300352643,64.55268300352644,88,119
Kepler-1486 b,2.32,5.99,54.6495759,538.0,5965.0,1.08,1.12,0.06,169.0,82.4,1.1128864447086804,61.288644470868036,79,111
Kepler-1471 c,1.88,4.19,11.6044881,841.0,5533.0,0.93,1.17,0.16,320.5,86.4,1.1854911724762338,68.54911724762339,120,153
Kepler-1537 b,1.18,1.76,1.4444538,1800.0,5079.0,0.81,0.77,-0.08,800.0,76.8,1.2640045963803506,76.40045963803506,238,289
Kepler-148 b,1.8,3.89,1.729366,1284.0,5272.0,0.86,0.85,0.14,542.0,85.60000000000001,1.2006172839506173,70.06172839506173,175,218
Kepler-148 c,3.6,12.6,4.180043,957.0,5272.0,0.86,0.85,0.14,378.5,85.60000000000001,0.9722222222222221,47.22222222222221,130,176
Kepler-1480 b,1.67,3.43,22.12679948,721.0,5156.0,0.85,0.81,0.07,260.5,82.8,1.2298755781849475,72.98755781849475,105,132
Kepler-1481 b,1.23,2.04,5.94220998,797.0,4908.0,0.8,0.75,0.04,298.5,81.60000000000001,1.3484037279397185,84.84037279397185,116,141
42 Dra b,13.0,1233.13,479.1,912.5307146386988,4200.0,0.98,22.03,-0.46,356.2653573193494,61.6,7.296627218934912,679.6627218934912,243,348
61 Vir c,4.46,18.2,38.021,912.5307146386988,5577.0,0.94,0.96,-0.01,356.2653573193494,79.60000000000001,0.9149590782038649,41.49590782038649,121,174
LTT 1445 A b,1.18,2.73,5.35876,555.0,3340.0,0.26,0.27,-0.34,177.5,66.39999999999999,1.9606434932490666,146.06434932490666,94,105
TOI-5301 b,13.092,1182.32167,5.858858,1648.0,6418.0,1.32,2.18,0.03,724.0,81.19999999999999,6.898007405627559,639.8007405627559,333,466
TOI-669 b,2.586,10.0,3.945152,1124.84560586,5597.0,0.92,0.99,0.001,462.42280293000005,80.04,1.4953503575980847,99.53503575980847,160,206
70 Vir b,12.6,2380.45,116.688,912.5307146386988,5495.0,1.09,1.89,-0.09,356.2653573193494,76.4,14.994016124968505,1449.4016124968505,402,509
HIP 19976 b,4.94,21.61233,50.65905,912.5307146386988,4316.0,0.67,0.77,0.014262971257932062,356.2653573193494,80.57051885031727,0.8856205641790554,38.562056417905545,121,171
K2-151 b,1.49,2.83,3.835476,566.0,3695.0,0.47,0.45,-0.19,183.0,72.39999999999999,1.2747173550740958,77.47173550740958,83,99
EPIC 220492298 b,0.99,0.937,0.762406,912.5307146386988,5620.0,0.95,0.89,0.28,356.2653573193494,91.20000000000002,0.956024895418835,45.60248954188349,126,155
K2-290 b,3.06,10.9,9.21165,1230.0,6302.0,1.19,1.51,-0.06,515.0,77.60000000000001,1.164082190610449,66.4082190610449,165,221
K2-138 g,3.013,4.32,41.96797,445.0,5356.3,0.94,0.86,0.14,122.50000000000001,85.60000000000001,0.47586688461076243,-2.413311538923757,56,86
K2-140 b,13.563,295.58042,6.569188,962.0,5585.0,0.96,1.06,0.1,381.0,84.00000000000001,1.606808566285589,110.68085662855891,143,257
K2-141 c,7.0,8.0,7.7485,695.0,4570.0,0.71,0.68,0.0,247.5,80.0,0.16326530612244897,-33.673469387755105,79,139
K2-141 b,1.51,4.97,0.2803244,2103.0,4570.0,0.71,0.68,0.0,951.5,80.0,2.179728959256173,167.9728959256173,295,354
TOI-3364 b,12.229,530.77344,5.8768918,1264.0,5706.0,1.19,1.42,0.387,532.0,95.48,3.5491740097778766,304.9174009777877,223,336
KMT-2016-BLG-2605L b,14.0,245.0457,,912.5307146386988,5412.3924897449615,0.06,,0.014262971257932062,356.2653573193494,80.57051885031727,1.250233163265306,75.0233163265306,128,244
24 Sex b,13.4,632.46,452.8,912.5307146386988,5098.0,1.54,4.9,-0.03,356.2653573193494,78.8,3.522276676319893,302.22766763198933,173,284
24 Sex c,13.9,273.32,883.0,912.5307146386988,5098.0,1.54,4.9,-0.03,356.2653573193494,78.8,1.414626572123596,91.4626572123596,131,245
DENIS-P J082303.1-491201 b,11.9,9057.77,246.36,912.5307146386988,5412.3924897449615,0.07,,0.014262971257932062,356.2653573193494,80.57051885031727,63.962785114045616,6346.278511404562,1382,1484
HIP 63242 b,12.5,2917.56,124.6,912.5307146386988,4830.0,1.54,10.28,-0.31,356.2653573193494,67.6,18.672384,1817.2384000000002,473,576
GJ 504 b,13.0,1271.3,,510.0,6234.0,1.22,1.26,0.28,155.0,91.20000000000002,7.522485207100591,702.2485207100591,207,309
2MASS J01225093-2439505 b,11.209,7786.5,,1600.0,3530.0,0.4,0.37,0.014262971257932062,700.0,80.57051885031727,61.97386041022486,6147.386041022486,1429,1534
RR Cae b,13.0,1334.886,4343.5,912.5307146386988,3904.0,0.44,0.19,0.014262971257932062,356.2653573193494,80.57051885031727,7.898733727810651,739.8733727810651,261,363
HAT-P-44 b,13.922,111.871,4.301219,1108.0,5295.0,0.94,0.95,0.33,454.0,93.2,0.5771839704292933,7.718397042929325,143,262
K2-288 B b,1.9,4.27,31.393463,226.36,3341.0,0.33,0.32,-0.21,13.180000000000005,71.6,1.182825484764543,68.2825484764543,38,47
K2-243 c,2.01,4.7,24.94598,801.0,6570.0,1.29,1.39,-0.03,300.5,78.8,1.1633375411499718,66.33375411499718,112,151
EPIC 206024342 c,1.4,2.54,0.911724,912.5307146386988,5724.0,0.93,1.1,-0.22,356.2653573193494,71.2,1.295918367346939,79.5918367346939,126,160
HATS-43 b,13.227,82.95363,4.3888497,1003.0,5099.0,0.84,0.81,0.05,401.49999999999994,82.0,0.47414665182318216,-2.5853348176817836,124,236
HATS-45 b,14.415,222.481,4.1876244,1518.0,6450.0,1.27,1.32,0.02,659.0,80.80000000000001,1.0706897238335074,57.06897238335073,200,339
TOI-4602.01,2.55,7.04,3.9812091,1380.26675,6011.9,1.11,1.16,0.014262971257932062,590.133375,80.57051885031727,1.0826605151864668,58.26605151864668,183,238
WASP-107 c,13.2,115.0,1088.0,912.5307146386988,4425.0,0.68,0.66,0.02,356.2653573193494,80.80000000000001,0.6600091827364556,16.00091827364556,117,222
Kepler-1972 c,0.868,2.11,11.3295,1215.0,5818.0,1.12,1.38,0.23,507.5,89.2,2.800547898659984,230.0547898659984,200,237
HR 858 b,2.004,3.55,3.585287,1552.0,6354.0,1.2,1.26,0.025,676.0,81.0,0.88396062167083,38.396062167083,201,258
WASP-127 b,14.695,52.3466,4.17806203,1400.0,5620.0,0.95,1.33,-0.193,600.0,72.28,0.2424093114375887,-25.75906885624113,167,301
WASP-136 b,15.468,479.9233,5.215357,1742.0,6250.0,1.41,2.39,-0.18,771.0,72.8,2.0058733500476036,150.58733500476035,245,396
LHS 1140 c,1.272,1.91,3.77794,422.0,3096.0,0.18,0.22,-0.15,111.00000000000001,74.0,1.1804813891855543,68.04813891855544,64,71
TOI-178 e,2.207,3.86,9.961881,600.0,4316.0,0.65,0.65,-0.23,200.0,70.8,0.7924696495415892,29.246964954158916,77,102
TOI-2285 b,1.74,19.5,27.26955,284.0,3491.0,0.45,0.46,-0.05,42.0,78.0,6.4407451446690445,594.0745144669045,178,162
TOI-6029 b,14.392,519.64945,5.7987,1484.0,6223.0,1.55,2.34,0.37,642.0,94.80000000000001,2.5088123060924774,200.88123060924775,229,365
CoRoT-8 b,6.39,69.92,6.21229,870.0,5080.0,0.89,0.8,0.3,335.0,92.0,1.712378251424737,121.2378251424737,136,197
K2-261 b,9.27,68.96876,11.6334681,1036.0,5537.0,1.1,1.67,0.372,418.0,94.88,0.8025885312842929,30.258853128429287,139,226
K2-266 c,0.705,0.29013,7.814,664.5,4285.0,0.69,0.7,-0.12,232.24999999999997,75.2,0.5837332126150597,8.373321261505973,82,98
K2-114 b,10.592,638.8351,11.390931,701.4,5039.0,0.83,0.87,0.42,250.69999999999996,96.8,5.694201425176385,519.4201425176385,196,281
K2-308 b,9.916,70.6,3.38628,1213.76016509,6100.0,1.09,1.24,-0.1,506.88008254500005,76.0,0.7180119376298624,21.801193762986237,154,254
TOI-1410 c,5.63,27.0,47.56,912.5307146386988,4635.0,0.79,0.76,0.328,356.2653573193494,93.11999999999999,0.8518183166177135,35.18183166177135,124,180
TOI-1249 b,3.271,11.9,13.079151,726.887776017,5497.0,1.01,0.98,0.297,263.4438880085,91.88000000000001,1.1122076377635055,61.22076377635055,106,145
2MASS J19383260+4603591 b,13.4,603.877,406.0,912.5307146386988,29564.0,0.48,0.2,-0.092,356.2653573193494,76.32,3.363093116507017,286.3093116507017,169,402
HD 134606 e,1.33,2.34,4.3203,912.5307146386988,5576.0,1.05,1.16,0.343,356.2653573193494,93.72,1.3228560122109785,82.28560122109785,134,165
TOI-3807 b,18.495,330.54154,2.8989727,1646.0,5772.0,1.18,1.47,0.278,723.0,91.12,0.9663120045669678,46.631200456696774,217,383
TOI-2525 b,8.676,26.69759,23.2856,512.97214031,5096.0,0.85,0.79,0.14,156.486070155,85.60000000000001,0.354676956043295,-14.532304395670497,62,130
HATS-11 b,18.03,263.7989,3.619188,1596.0,6563.0,1.33,1.54,0.03,698.0,81.19999999999999,0.8114869252546058,31.148692525460575,205,371
HATS-36 b,12.92,1022.14128,4.175186,1203.0,5950.0,1.1,1.1,0.15,501.49999999999994,86.0,6.1233051212989675,562.3305121298968,264,382
HATS-9 b,13.85,266.02371,1.915291,1746.0,5599.0,1.1,1.56,0.38,773.0,95.19999999999999,1.3868222445229315,88.68222445229314,240,375
HD 188641 b,11.9,9333.03117,14583.81038,912.5307146386988,5897.32,1.07,1.94,-0.08,356.2653573193494,76.8,65.90658265659205,6540.658265659205,1420,1525
WASP-36 b,14.874,750.39663,1.53736596,1733.0,5959.0,1.08,0.99,-0.26,766.5,69.6,3.3918397122897006,289.18397122897005,270,416
K2-3 b,2.078,5.11,10.0546535,501.3,3951.0,0.53,0.55,-0.157,150.65,73.72,1.1833952280687456,68.33952280687457,73,93
K2-348 c,2.67,7.61,12.550171,655.0,5077.0,0.83,0.85,0.13,227.5,85.2,1.0674858673848702,56.74858673848702,94,126
K2-43 b,4.51,18.5,3.471149,939.3,3840.6,0.56,0.56,0.014262971257932062,369.65,80.57051885031727,0.9095333847916185,40.95333847916185,125,170
K2-77 b,2.5,603.877,8.2000844,806.0,4970.0,0.85,0.78,0.13,303.0,85.2,96.62031999999999,9612.032,2024,2058
Kepler-105 b,2.53,10.8,5.4122034,1418.0,6082.0,0.99,1.03,-0.09,609.0,76.4,1.6872627286787798,118.72627286787798,199,254
Kepler-25 c,5.217,15.2,12.7207,934.0,6354.0,1.17,1.34,0.11,367.0,84.39999999999999,0.5584726566459771,5.847265664597712,118,181
NGTS-33 b,18.383,1153.71712,2.827972,1991.0,7437.0,1.6,1.48,-0.11,895.5,75.6,3.4140239447273792,291.4023944727379,305,487
HATS-15 b,12.386,689.6911,1.74748753,1505.0,5311.0,0.87,0.92,0.0,652.5,80.0,4.495649768810981,399.5649768810981,267,386
GJ 3341 b,2.46,6.6,14.207,912.5307146386988,3526.0,0.47,0.44,-0.09,356.2653573193494,76.4,1.090620662304184,59.06206623041841,124,153
GJ 581 e,1.38,2.48,3.1481,912.5307146386988,3500.0,0.3,0.3,-0.08,356.2653573193494,76.8,1.3022474270111324,80.22474270111324,128,150
G 264-012 b,1.39,2.5,2.30538,587.0,3326.0,0.3,0.3,0.1,193.5,84.00000000000001,1.2939288856684439,79.39288856684439,89,102
EPIC 212624936 c,2.3,5.9,11.811437,912.5307146386988,5765.0,1.0,0.93,-0.39,356.2653573193494,64.39999999999999,1.1153119092627601,61.53119092627601,121,161
K2-104 b,1.79,3.86,1.9741954,798.0,3712.0,0.51,0.48,0.18,299.0,87.20000000000002,1.2047064698355232,70.47064698355231,115,138
EPIC 201615463 c,1.22,1.98,3.80464,912.5307146386988,5942.5,1.07,1.6,-0.051,356.2653573193494,77.96000000000001,1.3302875571083042,83.02875571083041,129,162
EPIC 206032309 b,1.01,1.01,2.87814,912.5307146386988,3489.0,0.22,0.37,0.014262971257932062,356.2653573193494,80.57051885031727,0.9900990099009901,49.00990099009901,123,143
EPIC 212424622 b,2.17,5.35,18.0983,912.5307146386988,5782.33,1.11,1.22,0.014262971257932062,356.2653573193494,80.57051885031727,1.1361464460914439,63.61464460914439,126,165
TOI-1244 b,2.467,6.6,6.40031648,714.862406468,4722.0,0.75,0.72,0.034,257.431203234,81.35999999999999,1.0844402702622324,58.444027026223246,100,131
TOI-1301.01,2.477,6.7,6.09640721,737.36429143,4820.4,0.77,0.73,0.014262971257932062,268.682145715,80.57051885031727,1.0920003800813265,59.20003800813265,103,135
TOI-1772.01,2.905,8.78,8.05424687,877.672549264,5583.0,0.99,1.0,0.128,338.836274632,85.12,1.0404045491037175,54.04045491037175,121,163
GJ 3293 d,2.67,7.6,48.1345,912.5307146386988,3466.0,0.42,0.4,0.02,356.2653573193494,80.80000000000001,1.0660831264290422,56.608312642904224,125,155
BD-08 2823 b,3.61,12.7132,5.6,912.5307146386988,4816.0,0.5,0.71,-0.06,356.2653573193494,77.60000000000001,0.9755296537012454,47.55296537012455,122,166
BD-10 3166 b,14.1,187.5197,3.48777,912.5307146386988,5393.0,1.47,0.91,0.38,356.2653573193494,95.19999999999999,0.9432106030883758,44.32106030883758,126,242
GJ 720 A b,3.77,13.64,19.466,401.0,3837.0,0.57,0.56,-0.14,100.49999999999999,74.4,0.9596915478192347,45.96915478192347,57,84
BD-13 2130 b,12.5,3108.3774,714.29999,912.5307146386988,4545.0,2.12,19.17,-0.08,356.2653573193494,76.8,19.89361536,1939.361536,500,602
HD 215152 d,1.48,2.801,10.86499,912.5307146386988,4935.0,0.77,0.73,-0.1,356.2653573193494,76.0,1.2787618699780863,77.87618699780863,127,158
AB Pic b,12.3,4290.5,,912.5307146386988,5285.0,0.9,1.0,0.04,356.2653573193494,81.60000000000001,28.359442131006674,2785.944213100667,671,775
CoRoT-7 d,4.31,17.142,8.966,912.5307146386988,5250.0,0.92,0.84,0.02,356.2653573193494,80.80000000000001,0.9227986498780693,42.279864987806924,122,172
HD 113337 c,12.1,6299.67686,5429.93477,912.5307146386988,6667.33,1.4,1.53,0.07,356.2653573193494,82.8,43.027640598319785,4252.764059831979,964,1074
EPIC 246851721 b,11.781,953.49,6.180235,1401.0,6202.0,1.32,1.59,0.141,600.5,85.64,6.869922386931329,636.9922386931329,303,420
K2-128 b,1.42,2.6,5.675819,912.5307146386988,4469.51,0.71,0.78,-0.26,356.2653573193494,69.6,1.2894267010513787,78.94267010513786,126,154
K2-123 b,2.76,8.05,30.951524,338.0,4035.0,0.62,0.59,0.03,69.0,81.19999999999999,1.0567632850241548,55.67632850241549,78,72
K2-132 b,14.572,155.7367,9.1751,1586.0,4840.0,1.08,3.85,-0.01,693.0,79.60000000000001,0.7334198210007062,23.341982100070624,202,335
K2-113 b,12.14,410.0007,5.817685,1098.0,5660.0,1.04,1.24,0.27,449.0,90.8,2.7819365773824867,228.19365773824867,185,294
KMT-2021-BLG-1105L b,13.6,413.17693,,912.5307146386988,5412.3924897449615,0.63,,0.014262971257932062,356.2653573193494,80.57051885031727,2.2338718101211077,173.38718101211077,148,261
OGLE2-TR-L9 b,18.046,1430.175,2.4855335,2034.0,6933.0,1.52,1.53,-0.05,917.0,78.0,4.391645501013707,389.16455010137076,330,509
HD 105618 c,11.9,8419.59233,77114.07158,912.5307146386988,5671.0,1.01,1.27,0.014262971257932062,356.2653573193494,80.57051885031727,59.45619892662947,5895.619892662947,1292,1396
TOI-837 b,9.169,120.45697,8.3249113,995.3,5995.0,1.14,1.05,0.01,397.65,80.39999999999999,1.4328079718654427,93.28079718654428,142,231
PDS 70 b,30.488,953.49,43500.0,1204.0,3972.0,0.76,1.26,-0.11,501.99999999999994,75.6,1.025789551451725,52.5789551451725,159,385
GJ 357 b,1.2,1.84,3.9306,518.0,3505.0,0.34,0.34,-0.12,159.0,75.2,1.277777777777778,77.77777777777779,78,89
WASP-124 b,13.899,190.698,3.37265,1400.0,6050.0,1.07,1.02,-0.02,600.0,79.2,0.9871406320709641,48.714063207096416,184,314
K2-338 b,1.03,1.08,3.850614,783.0,4558.0,0.66,0.63,-0.23,291.5,70.8,1.0180035818644548,51.800358186445486,104,127
K2-187 b,1.2,1.87,0.77401,1815.0,5438.0,0.97,0.83,0.0,807.4999999999999,80.0,1.2986111111111112,79.86111111111111,242,295
HD 164604 b,12.3,4544.94622,641.472,912.5307146386988,4684.0,0.77,0.77,-0.18,356.2653573193494,72.8,30.041286403595738,2954.1286403595736,702,803
KIC 8540376 c,2.4,6.35,75.2,912.5307146386988,6474.0,1.04,1.26,-0.16,356.2653573193494,73.6,1.1024305555555556,60.24305555555556,123,167
KOI-217 b,12.442,376.98237392722274,3.90512,1046.0,5545.0,0.95,0.86,0.12,423.00000000000006,84.80000000000001,2.435233732564253,193.52337325642532,170,279
Kepler-603 c,6.5,34.5,127.9075774,401.0,5808.0,1.01,1.01,0.03,100.49999999999999,81.19999999999999,0.8165680473372781,31.656804733727807,56,111
Kepler-275 c,3.38,11.4,16.088134,875.0,6165.0,1.19,1.38,0.08,337.5,83.2,0.997864220440461,49.7864220440461,119,167
Kepler-170 c,2.86,8.55,16.665863,702.0,5679.0,1.07,1.04,0.39,250.99999999999997,95.60000000000001,1.0452833879407308,54.528338794073086,102,139
Kepler-598 c,3.024,9.4,86.4945,367.0,5245.0,0.9,0.9,0.03,83.5,81.19999999999999,1.0279317488312196,52.793174883121964,81,84
Kepler-139 d,1.695,4.65808,7.30569992,972.0,5622.0,1.08,1.05,0.35,386.0,94.0,1.6213155123954717,112.13155123954716,147,183
Kepler-655 b,2.71,7.8,46.4063358,588.0,6170.0,1.15,1.24,0.0,194.0,80.0,1.062077041434621,56.2077041434621,84,120
K2-331 b,1.79,3.86,9.398977,909.0,5994.0,1.1,1.06,0.08,354.5,83.2,1.2047064698355232,70.47064698355231,128,165
Kepler-1819 b,3.904,14.5,16.48690033,760.0,6090.0,1.17,1.07,0.21,280.0,88.4,0.9513676599032518,45.13676599032518,106,153
WASP-52 b,14.24,146.2,1.7497798,1315.0,5008.37,0.87,0.79,0.03,557.5,81.19999999999999,0.7209869334679964,22.098693346799635,168,294
HD 158259 e,2.34,6.08,7.951,912.5307146386988,5801.89,1.08,1.21,0.014262971257932062,356.2653573193494,80.57051885031727,1.110380597560085,61.03805975600849,125,166
TOI-1736 c,12.5,2800.0,571.25,249.0,5636.0,1.04,1.43,0.148,24.5,85.92,17.92,1742.0000000000002,380,470
WASP-3 b,15.917,772.3269,1.84683,2020.0,6400.0,1.62,1.44,0.0,910.0,80.0,3.0484475623845158,254.84475623845157,302,464
TOI-4153 b,16.119,365.50267,4.6174141,1669.0,6860.0,1.57,1.6,0.317,734.5,92.68,1.4067417059163019,90.67417059163019,230,385
TOI-125 d,2.93,13.6,19.98,638.1,5320.0,0.86,0.85,-0.02,219.05,79.2,1.584176868688045,108.41768686880451,100,135
TOI-178 b,1.152,1.5,1.914558,1040.0,4316.0,0.65,0.65,-0.23,420.0,70.8,1.1302806712962965,63.02806712962965,139,167
HD 11506 d,12.3,4068.20361,26500.0,912.5307146386988,6123.0,1.22,1.24,0.3,356.2653573193494,92.0,26.890102518342253,2639.0102518342255,644,752
HR 858 c,1.979,3.8,5.973865,1309.0,6354.0,1.2,1.26,0.025,554.5,81.0,0.9702686699480471,47.026866994804706,172,223
TOI-1836 b,8.003,38.45724,20.380799,966.0,6380.0,1.31,1.58,-0.101,383.0,75.96000000000001,0.6004439575943726,10.044395759437263,121,203
TOI-5076 b,3.489,16.14568,23.443162,550.0,4780.0,0.79,0.84,0.082,175.0,83.28,1.3263385782495714,82.63385782495713,85,119
WASP-132 b,10.099,136.03056,7.1335164,682.0,4686.0,0.79,0.76,0.15,241.0,86.0,1.3337663047308035,83.37663047308035,103,183
