pl_name,pl_rade,pl_bmasse,pl_orbper,pl_eqt,st_teff,st_mass,st_rad,st_met,pl_eqt_normalized,st_met_normalized,surface_gravity,surface_gravity_normalized,habitability_score,terraforming_score
KMT-2021-BLG-0712L b,6.91,38.19,,912.5307146386988,5412.3924897449615,0.22,,0.014262971257932062,356.2653573193494,80.57051885031727,0.7998224013102091,29.98224013102091,119,188
TOI-1811 b,11.142,308.92921,3.7130765,962.2,4766.0,0.82,0.77,0.306,381.1,92.24,2.488471467736494,198.8471467736494,163,257
CoRoT-27 b,11.287,3302.11,3.57532,1500.0,5900.0,1.05,1.08,-0.1,650.0,76.0,25.91996950870711,2541.996950870711,694,809
Kepler-1200 b,1.06,1.2,1.11854972,1174.0,4612.0,0.74,0.7,0.04,487.0,81.60000000000001,1.0679957280170878,56.79957280170878,158,190
Kepler-1260 b,1.77,3.78,19.1187753,823.0,5961.0,1.06,1.08,0.01,311.5,80.39999999999999,1.2065498419994254,70.65498419994253,116,151
kap And b,12.3,4327.36,,1900.0,10900.0,2.6,2.31,-0.36,850.0,65.60000000000001,28.60308017714323,2810.308017714323,794,952
HD 190007 b,4.06,15.5,11.724128,912.5307146386988,4610.0,0.77,0.79,0.16,356.2653573193494,86.4,0.9403285690019173,44.03285690019173,124,169
HD 47366 c,13.5,483.73484,677.53,912.5307146386988,4866.0,1.81,7.3,-0.02,356.2653573193494,79.2,2.6542378052126203,215.42378052126202,156,266
ome Ser b,14.0,233.92171,278.59,912.5307146386988,4724.0,1.01,10.99,-0.12,356.2653573193494,75.2,1.1934781122448979,69.34781122448979,125,238
tau Gem b,12.1,6547.0,305.5,912.5307146386988,4388.0,2.3,26.8,0.14,356.2653573193494,85.60000000000001,44.716890922751176,4421.689092275117,999,1097
GJ 273 b,1.51,2.89,18.6498,912.5307146386988,3382.0,0.29,0.29,0.09,356.2653573193494,83.6,1.2674882680584185,76.74882680584186,129,152
GJ 163 c,2.5,6.8,25.63058,912.5307146386988,3500.0,0.4,0.41,0.1,356.2653573193494,84.00000000000001,1.088,58.80000000000001,126,155
HD 153557 c,4.36,17.48056,15.27018,912.5307146386988,4837.0,0.79,0.75,0.014262971257932062,356.2653573193494,80.57051885031727,0.9195648514434811,41.95648514434811,122,170
TOI-778 b,15.4,878.0,4.633611,1561.0,6643.0,1.4,1.71,0.0,680.5,80.0,3.702142013830325,320.2142013830325,258,406
HD 156098 c,12.8,1661.60691,7841.5839,912.5307146386988,6419.19,1.29,2.76,0.12,356.2653573193494,84.80000000000001,10.141643737792966,964.1643737792966,307,420
HIP 90988 b,13.4,668.07531,455.73816,912.5307146386988,4883.0,1.61,3.94,0.17,356.2653573193494,86.8,3.7206243595455555,322.06243595455555,180,288
HD 125612 c,4.07,15.57359,4.15466,912.5307146386988,5900.0,1.05,1.05,0.23,356.2653573193494,89.2,0.9401559924901447,44.01559924901447,125,176
tau Boo b,12.8,1891.0,3.3124568,912.5307146386988,6466.27,1.32,1.43,0.264,356.2653573193494,90.56,11.541748046874998,1104.1748046874998,337,450
Kepler-279 b,3.62,12.8,12.309681,1104.0,6363.0,1.16,1.75,-0.114,451.99999999999994,75.44,0.9767711608314765,47.67711608314765,145,202
Kepler-207 c,1.5,2.86,3.071571,1556.0,5920.0,1.31,1.59,0.29,678.0,91.60000000000001,1.271111111111111,77.11111111111111,212,263
Kepler-62 e,1.61,36.0,122.3874,270.0,4925.0,0.69,0.64,-0.37,35.0,65.19999999999999,13.888353072798116,1338.8353072798116,296,312
KOI-351 g,8.1,254.264,210.60697,342.0,6080.0,1.2,1.2,-0.12,71.0,75.2,3.875384849870447,337.5384849870447,133,174
Kepler-23 b,1.638,2.56,7.1,1157.0,5828.0,1.08,1.55,-0.112,478.5,75.52,0.9541401482793426,45.41401482793426,151,193
KOI-351 d,2.87,8.6,59.73667,520.0,6080.0,1.2,1.2,-0.12,160.0,75.2,1.044082118272651,54.4082118272651,73,109
