pl_name,pl_rade,pl_bmasse,pl_orbper,pl_eqt,st_teff,st_mass,st_rad,st_met,pl_eqt_normalized,st_met_normalized,surface_gravity,surface_gravity_normalized,Habitability Score,Terraformability Score
Kepler-344 b,2.61,7.32,21.963945,643.0,5774.0,0.93,0.98,0.04,-0.6754749124494109,0.142891861477735,1.0745585061875194,-0.16612466303447648,60.86,26.25
Kepler-138 b,0.64,0.07,10.3134,452.0,3841.0,0.54,0.54,-0.18,-1.1541428388517165,-1.0785470948272047,0.1708984375,-0.21823540722185833,25.23,11.53
Kepler-1381 b,2.25,5.69,25.3842686,649.0,5747.0,0.96,0.94,-0.1,-0.660438223661904,-0.6343874743526812,1.1239506172839506,-0.16327640210605113,49.01,23.7
Kepler-1272 b,2.37,6.21,51.1309704,542.0,5926.0,1.06,1.09,0.06,-0.9285925070391118,0.25393176659636585,1.1055920525556802,-0.16433507284226267,57.66,26.04
Kepler-154 b,2.26,5.73,33.040532,561.0,5690.0,0.93,1.0,0.02,-0.880976325878673,0.031851956359104115,1.121857623932963,-0.16339709731532112,54.82,22.62
KMT-2021-BLG-1303L b,13.6,120.77479,,912.5307146386988,5412.3924897449615,0.57,,0.014262971257932,0.0,-3.3709117781417086e-16,0.6529778871107267,-0.1904356628853126,78.77,45.95
Kepler-946 b,1.93,4.38,11.79162572,857.0,5665.0,0.94,0.93,-0.09,-0.1391663456949953,-0.5788675217933658,1.1758704931676018,-0.16028237430271663,46.77,20.08
Kepler-1087 b,0.61,0.165,0.69384286,2161.0,5589.0,0.96,0.94,0.01,3.1288073507898555,-0.023667996200211323,0.4434291857027681,-0.2025195638479036,39.63,11.07
Kepler-175 b,2.56,7.08,11.903515,827.0,6064.0,0.97,1.01,0.04,-0.2143497896325302,0.142891861477735,1.080322265625,-0.16579228827984072,61.31,25.17
Kepler-1254 c,1.3,2.24,3.60084276,927.0,4985.0,0.78,0.75,-0.1,0.03626169015925282,-0.6343874743526812,1.3254437869822484,-0.15165703395481375,38.71,15.53
Kepler-1988 b,1.53,2.96,11.49500229,1105.0,6033.0,1.13,1.79,-0.1,0.4823501241886266,-0.6343874743526812,1.264470929984194,-0.15517311379887969,42.16,17.01
Kepler-223 d,5.24,8.0,14.78869,827.0,5803.0,1.12,1.72,0.1,-0.2143497896325302,0.47601157683362766,0.2913583124526542,-0.21128893039277938,75.89,26.15
Kepler-124 b,0.73,0.315,3.410493,892.0,4984.0,0.71,0.64,-0.46,-0.05145232776787124,-2.633105766488037,0.5911052730343405,-0.1940036284025032,13.23,11.84
Kepler-368 c,3.88,14.3,72.379334,575.0,5502.0,1.17,2.02,0.03,-0.8458907187078234,0.08737190891841955,0.9498884047188862,-0.17331392810279214,70.14,40.26
Kepler-286 e,1.77,3.78,29.221289,539.0,5580.0,0.83,0.86,-0.25,-0.9361108514328653,-1.4671867627424129,1.2065498419994254,-0.15851320937642682,35.06,20.5
Kepler-763 b,1.22,1.98,1.19655156,1414.0,5166.0,0.84,0.8,0.01,1.2567395967452362,-0.023667996200211323,1.3302875571083042,-0.15137771159158486,44.99,15.56
Kepler-1054 b,2.63,7.41,4.30655689,1177.0,6209.0,1.22,1.34,0.09,0.6627903896387104,0.42049162427431214,1.0712891613294977,-0.16631319409771594,65.97,25.38
Kepler-101 c,1.25,3.78,6.02976,1413.0,5667.0,1.17,1.56,0.33,1.2542334819473182,1.7529704856978827,2.4192,-0.08858414604607888,63.05,18.94
Kepler-172 b,2.35,6.12,2.940309,1256.0,5526.0,1.08,1.08,0.39,0.860773458674219,2.0860902010537754,1.1081937528293344,-0.16418504238046572,78.77,23.5
HD 156668 c,6.17,31.4968,811.3,912.5307146386988,4903.69,0.79,0.77,0.049,0.0,0.19285981878111888,0.8273630181066435,-0.18037951537332858,79.48,59.96
